super! super,positive
good choice gud product,neutral
good choice nyc product,positive
pretty good product is fine but overpriced,positive
best in the market! good,positive
very good okay,positive
terrific purchase nice,positive
pretty good nice light weight,positive
not good poor quality and look,negative
super! everything is good but sound quality is really disappointing us,neutral
fabulous! very good product i am very happy,positive
nan awesome,positive
very good good,positive
good choice nice,positive
nan nice,positive
good choice good but small size,positive
awesome very good,positive
highly recommended excellent,positive
perfect product! awesome,positive
excellent good,positive
not specified nice,positive
mind-blowing purchase best,positive
pretty good good product,positive
highly recommended good quality,positive
nan soft febric,positive
worth every penny seriously very worth for this priceultimate sound qualitysony always admirei had an option of sony and jblthen i go for sony xplode bcoz of low pricebut it was completely best decision,positive
nan im 100 satisfied its all good fabric without any colour drop if u like this type of cargo go ahead without any doubt,positive
nice product not bad,positive
not specified very good quality,positive
perfect product! nice,positive
terrific purchase good product u guys can buy,positive
terrific nice product,positive
terrific excellent product at this price,positive
not recommended at all not good productnot connect one device and not proper search voice,negative
awesome nice oli,positive
value-for-money it is working fine image quality is good,positive
worth every penny really good and usefull product,positive
brilliant best in conditions best product,positive
perfect product! nice,positive
worth every penny fully satisfied flipkart quickly had arranged the installation free of costpurchase forget and feel free flipkart will arrange everything,positive
excellent good,positive
not specified ok ahe not good not bad,negative
awesome quick delivery and the product is osam,positive
expected a better product within a week the handle is broken,negative
simply awesome good,positive
not good dont buy this product,negative
wonderful its nice,positive
just wow! nice product,positive
super! superb,positive
horrible this is a very bad product,negative
delightful product is too good easy to use not so costly very nice product by catvision hd,positive
very good good product for household use only,positive
waste of money! 0 rated product,negative
super! working fine and smoothly easy to operate quick and fast delivery by flipkart and above all the demo person was good natured and demonstrated the functions very nicely i am too much impressed by the flipkart services,positive
fabulous! very good,positive
awesome excellent product from mivi i really loved this bluetooth speaker battery backup amazing also fast connecting bluetooth,positive
best in the market! nice productpackage also goodtotally excellent,positive
simply awesome best product,positive
great product a complete set of colours for your little one and it is a good item for gifting as well,positive
nan good,positive
excellent good,positive
nan very poor quality,negative
nan not satisfied,negative
absolute rubbish! not working,negative
nan nice product,positive
classy product good delivery boy service very good,positive
don't waste your money quality was not good its to bad,negative
simply awesome fast delivery by flipkart original product good for those who are targeting neet if code is present on your book then you got original productbook has topic wise questions from each chapter which were asked in previous neet and aipmt examination with their solution go for it and if seller is reading this comment please wrap the books in plastic first so that water cant cause damage to its pages my books came on rainy day but fortunately delivery man was wise and he took care of it,positive
mind-blowing purchase great and original product,positive
fabulous! good price,positive
mind-blowing purchase quality product,neutral
nan fabulous product in this price range go for it tq to flipkart,positive
expected a better product one is good another one is no chemical one is used another is waste,negative
brilliant nice,positive
wonderful nice product from the known brand milton,positive
awesome super quality,positive
fabulous! nice product,positive
simply awesome great design value for money best display best performance have best look and backlight purple keyboard is also awesome,positive
does the job very good product,positive
fabulous! i enjoyed my sessions with my dietitian shazia a lot and really appreciate the knowledge she has and the help she gave me to look at things in a more healthy way she also made me realize that meals don t need to be complicated and difficult it really can be fast and easy thanks so much for her help thanks a lot shazia ji,positive
pretty good vb ok,neutral
worst experience ever! small container with liquid was broken waste buying it,negative
highly recommended nice range after 3 walls too and quality is very good using since 6 months thanks flipkart,positive
literally life changing! really reliable way to make better use of your tv its a very simple and easy setup and doesnt require too much hardware i can now watch youtube on my notsosmart tv because of which i really learned some new and interesting stuff and it has improved my quality of life overall highly recommended,positive
very poor not result,negative
just wow! good product,positive
great product nice productthe smell is very good and long lastingi really love this product,positive
nan was okkk,neutral
awesome super,positive
wonderful nice product,positive
brilliant good product,positive
very good good,positive
just okay product is good but had worst delivery experience with ecom expressflipcart should change its delivery partner,negative
great product lovely prdct,positive
value-for-money speed is fine but ra ge is not too wide range,positive
great product quality is very good,positive
wonderful good ink cotrige,positive
did not meet expectations the power is not working properly need to keep switching for several times,negative
unsatisfactory worst products within 3 months serviced it twice very bad product,negative
excellent very good inverter,positive
value-for-money good,positive
nan just ok ok product,neutral
bad quality staff note reporting fitting time,negative
just wow! its very good i m so happy again i wanna purchase thia,positive
not specified perfect size,positive
not specified worth for the money,positive
highly recommended very good,positive
very poor items demej not givin the greturn mony,negative
just okay not bad,neutral
best in the market! good product n comfortable,positive
highly recommended nice,positive
wonderful good,positive
classy product nice quality for hard ground,positive
highly recommended good product,positive
nan exlent prodct,neutral
must buy! products is good,positive
nan good quality,positive
terrific good,positive
nan just wow best quality thank you flipkart,positive
decent product not good grinding,negative
waste of money! pless dont bye its so bad product in my life,negative
mind-blowing purchase really excellent product from boat and fast delivery from flipkart sound quality is 100 good and the most important thing is that bass quality is in peaks ive to appreciate boat for battery backup of this device that was simply amazing i personally recommend this device for gamers and music mania persons,positive
perfect product! good,positive
worst experience ever! its not good,negative
mind-blowing purchase good,positive
nan it is good but the material is hard,positive
mind-blowing purchase wow,positive
good choice looking good worthy,positive
classy product awesome,positive
worth every penny very nice,positive
great product quality is bit weak but overall good product and value for money,positive
pretty good excess sound,positive
really nice its very nice football by nivia and price is also nice i love it very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very much,positive
brilliant nice,positive
just wow! the product is really good but the body gets really hot as mentioned on the product it cools down as fast it gets hot,neutral
nan good,positive
not specified this is nice product,positive
super! this is awesome product quality is good,positive
classy product good,positive
fair product is ok,neutral
fabulous! excellent,positive
absolute rubbish! not good,negative
must buy! too small and not strong,negative
pretty good good,positive
delightful good quality,positive
mind-blowing purchase easy to use good product,positive
absolute rubbish! worst product,negative
could be way better battery backup so bad,negative
not good ok but not good,neutral
value for money - got it in 61k using it since 1 month nowbattery backup is around 35 hours average tested multiple timeskeyboard is very smooth build quality could have been bettersound quality is topprocessor performance is great obliviously i have used it for coding visual studio 22 games codpubg premier pro is working perfectit can battle with i7 9th to 11th gen processor laptops so you can select for coding cons wifi 6 but still a bit low rangewebcam is the biggest conwith,neutral
worth every penny excellent must buy,positive
nan excellent product,positive
must buy! great product,positive
perfect product! it is good for temporary storage i use it in my hostel durable and nice,positive
not specified believe me or not this is a best product in this priceexcellent product good fabric and stich fitting is aslo nice overall happy,positive
worth the money good product,positive
good quality product worth the cost,positive
hated it! product is not good poor material qualityhandle break anytime basket is also small,positive
did not meet expectations the camera doesnt connect to wifi 24ghz at alli tried with mobile hotspot it worksservice center takes a very long turnaround time to get back and flipkart after sales service is very nastyworst experience,neutral
awesome very good product working well value for money worth buying and safely delivered,positive
perfect product! light weight and also lower voltage consumption,negative
worth every penny nice,positive
mind-blowing purchase nice,positive
not specified good for less pay,positive
just wow! good performance grinding on boiled rise 15 min grind coconut sharper not good very loose connect,positive
terrific purchase its compolsory needs ventilation otherwise too hot if u have ventilation part in your room then go for it n feel like ac cooling using ice cubes in ice chamberanyway thank u flipu,positive
worth the money gd,neutral
fabulous! very good product,positive
terrific nice lappy,positive
just wow! nice product,positive
not specified bad coltey,negative
super! great product in this price range,positive
nan very nice product,positive
awesome one of the most supervv book in my entire life forever thank you flipcart for showing this kind of book,positive
mind-blowing purchase i will clear your doubtsgo for itbest suitable for 6 months to 2 years kidsvery premium qualitydont go for any negative commentsreviewslooks exactly as image,negative
utterly disappointed waste of money dont but guys burning and smoking mixi when we grinding,negative
simply awesome ossam quality,positive
brilliant nice vry easy to use,positive
horrible no one seed germinated waste product,negative
simply awesome very bright and design is catchyliked the product,positive
nan good product,positive
classy product excellent book,positive
mind-blowing purchase very good,positive
super! good product,positive
super! nice,positive
just okay not bad product,positive
does the job it a good product but mine is leaking from handle,positive
nan nice,positive
don't waste your money worst product please dont waste your money on these cheap products,negative
very good good,positive
just wow! awesome,positive
nan nice,positive
highly recommended received and got the product installed in two days even it is lockdown great support on installationpicture quality connectivity and sound are greatonly compliant is in the the beginning i was able to 4k and more option in youtube videos but now i can able to see only 1080p,positive
brilliant super,positive
brilliant very good products and nice,positive
pretty good product is good heating time is 10 minutes i suggest that heating time should be less than 10 minutes by the way thanks flipcart,positive
excellent i am very happy,positive
really nice nice product,positive
nan very good product,positive
