classy product perfect design for modern tv setup,positive
worth every penny good,positive
value-for-money product is good but demand a delivery boy tips thats why 4 rating,positive
awesome good product,positive
wonderful very nice product easy to install,positive
worth every penny super nice protect,positive
bad quality one inside partition board out of three is damaged and one anchor is missing out of two,negative
wonderful nice and best product best for 32 inch led,positive
unsatisfactory dont buy it it is totally worst and cheap quality accessories for fitting on wall actually after delivery i was some modified in its designe otherwise i returned if you want to buy after my experience then you will make sure for wall mounted supporting steel or iron angles for perfect fitting other than it is wastage of money,positive
fabulous! the best 8n this range thanks flipkart,positive
really nice finishing could have been better,positive
fabulous! excellent,positive
terrific it is a very nice product with a fine finishing compact piecein appearance its look awesome in my leaving room and the price is super affordable i asked carpenter to make similar product before purchasing this and he quot me 20000 which blink my eyes thank you furnifry wooden and of course flipkart only thing that the standing layers shelves are quite smaller should be little more space in order to keep midum size toysshow piceand also nail mounted angel should be all 4 corners,positive
must buy! reviewing after 5 dayswant a show piece for your tv go for it no second thought no need for professional services to install this if you have a measuring device and drilling machine just measure and hang it in the wall i was a bit sceptical before purchasing a ply item from flipkart but ive been customer since many years so i purchased this product by trusting flipcarts policy looks good on my 42 inch tva very good experience and i liked it very much thanks to the seller,positive
pretty good very nice product,positive
expected a better product nice but size is small,positive
pretty good good quality product,positive
does the job broken fly and repairing done at corners,negative
nice product good quality product but installation is little bit difficult,negative
bad quality littel bit defective on from front side,negative
terrific purchase superb,positive
fabulous! wonderful product,positive
bad quality quality is not good as per the price this thing is not a longtime product,negative
decent product product dameg,negative
terrible product demage product,negative
great product excellent pro active service,positive
not recommended at all its very heavy wall screw is very short,negative
awesome simple and sober stand for all size tvstarting from packaging quality to material everything is awsm,positive
value-for-money looking goodcolors combination good but installation work is quite difficult,negative
mind-blowing purchase very nice product,positive
super! nice,positive
fabulous! product is just ultimate beautiful to use thank you flipcart for an amazing product,positive
must buy! good quality finish good compact wall tv unit with proper assembling notes screws are good quality you will need a carpenter to assemble the same and drill holes on wall my family is happy with the purchase,positive
classy product very good quality,positive
really nice although its easy to accumulate the parts of it seeing the instructions but it would have been better if the installation was included with it specially for the drilling things otherwise the tv unit is very good in quality and lookwise,positive
awesome very nice product,positive
decent product not fit in top spirit levelexage rated item,negative
simply awesome thanks very good,positive
