great product cheap and bestgood product,positive
best in the market! at this price best in class,positive
not specified supar prodekt vary nice,positive
just wow! very good offer from flip kartdelivered on 20th dec and installed on 21st dec very good product from live pure my plan is for kent supreme plus but it is coming for 15k rangei got all features in live pure pep pro plus only for 7649 on flip kart sale thank you flip kart,positive
terrible product ink dried within a month i did only 10 printout,negative
does the job good product,positive
terrific purchase good product it looks so nice thank you flipkart,positive
unsatisfactory dont buy it it is totally worst and cheap quality accessories for fitting on wall actually after delivery i was some modified in its designe otherwise i returned if you want to buy after my experience then you will make sure for wall mounted supporting steel or iron angles for perfect fitting other than it is wastage of money,positive
terrific purchase works as its supposed to good product,positive
brilliant good,positive
classy product best frangnance,positive
wonderful good,positive
nice it is ok and no more than it not energy efficient,negative
terrific this is a good product and completely value for moneyone request for longer inlet and drainage pipes from haier,positive
value-for-money product looks so sturdy fitted so tight that even you have to use both hands to adjust the angelthe only problem i noticed was the alignment was not good its little bit crooked if its fixed it will be the awesome product for sure,positive
wonderful good,positive
nan liked it worth the money,positive
worth the money best then voltas symphony and other brands but without trolley which i made myself,positive
really nice good qlty,positive
not specified nice,positive
wonderful very good procrcer,positive
wonderful the product is in good condition and the delivery person is customers friendly and flipkart is done time delivery and i am happy to as flipkart customer thank flipkart i am waiting for x mas offers nice product,positive
best decided for it. excellent and tough made bicycle,positive
terrible product damage pic send by flip cark but bat is good,positive
nan nice leather purse,positive
brilliant its good use able product,positive
awesome awesome,positive
mind-blowing purchase good prafomation and best prisei am very happy,positive
value-for-money good one,positive
mind-blowing purchase worth of money beautiful more than i expected thanks flipkart,positive
expected a better product item is good looking but it functioning very bad its grinding process is very long and its is spilling while grinding and sound is also horrible,negative
worth every penny awesome,positive
did not meet expectations only design look classiyother the use of fan is worst no air proper and continue voice coming outand services is to bad from last 1month i m complaining continue but still waiting dont buy this candes fan,negative
simply awesome awesome product best in this category working smoothly and heavy duty than prestige grinder,positive
awesome its good and good qualitybut receive different color,positive
brilliant nice,positive
best in the market! super,positive
just wow! nice chargers,positive
nan this prodect very very comfortable super i love it this cargos,positive
very poor its written 100w but my 20w tv volume is louder then this item very worst product dont go by review most review is i think paid review,negative
don't waste your money wast product plz dont by this,positive
good quality product go for it,positive
wonderful value for money but if you can afford a bit more amount then 49 inches would be better,positive
unsatisfactory very very bad productplz dont purchase it its lighting only few second after it off,negative
nan good product thanks for fkrt,positive
value-for-money it was neatly packed and send it to me and the product is perfectly good,positive
good otg is goodonly drawback is they dont provides recipe book with otg hence it becomes more difficult to google the exact temperature and timing for a dishalthough we tried multiple dishes some of them grilled too much or few of them not baked properly from insidetherefore for the first timer it is very difficult to make dish without instructions,negative
fabulous! great product with good sound quality also beautiful look battery backup go for it,positive
really nice nicelong lasting,positive
waste of money! i hated,negative
nan purchased for my gf surprise gft she loved it at a glance superb,positive
pretty good 1am satisfied with the service and product,positive
delightful i like this,positive
just wow! awesome as per cost,positive
perfect product! good product delivered on time a real gem for your homesmall office wifi need the signal easily penetrates 23 walls and travels at least 10 meters its very easy to install its working fine with act fibernet i will update the review of performance after 1 week i like the product,positive
terrific purchase good,positive
not specified belt quality is poor,negative
good choice very good product,positive
nan looking good,positive
worth every penny very good,positive
really nice good item,positive
terrific purchase excellent size and fit also commendable,positive
nan very very nice quality si happy like the pants,positive
nan value of money,positive
wonderful happy,positive
wonderful book is awesome but packaging is very very bad,positive
good quality product nice,positive
worth every penny one of the best product under this price range dont think much for buying this product it will fulfill ur all needs,positive
perfect product! excellent product fit and finish is too good,positive
great product good,positive
must buy! good gigabit router just plug and play supporting my 100 mb connection blindly go for it,positive
not recommended at all causal and not so good battery backup is worst,negative
very good nice,positive
good quality product its beautiful and superb quality love to have,positive
just okay plastic quality used is cheap can break easily vacuum suction power is good for the price unit is portable long enough cable,positive
not specified nice,positive
nice product is good,positive
useless product terrible,negative
good quality product this product is very nice,positive
pretty good good,positive
excellent good product,positive
worth every penny best in price you have to pay for pipe and 3 pin plugfor free installation you have to call bajaj,positive
awesome good quality product,positive
simply awesome awesome,positive
pretty good good item in rs190,positive
wonderful original product,positive
nan very nice febric and good quality love it,positive
highly recommended butter performance at the price i play gta 5 at 90 without lag better to use cooling pad with this,positive
super! good,positive
wonderful worth full product,positive
must buy! everything is good but inverter heat little bit more because of sine wave inverter that is negative impact for inverter life time,negative
just okay it is very good but its logo of laptop peeled off thats very disappointed but overall its very nice,positive
super! super,positive
classy product awesome headphone under 2k boss is very good build quality is very good battery backup is good and,positive
excellent nice product better then alexa,positive
great product it is soo fact and nice product,positive
great product nice,positive
worth every penny thank you,positive
not specified good product,positive
brilliant have been started to use it all latest features happy to use,positive
